,seed_kras,seed_nras,seed_hras
AC008443.1,3.34163165815701,3.1952404418789,2.41998018603641
RP11-554L12.3,3.32766336662936,-3.19200385940138,2.41780164553049
HID1,3.31966208441567,-3.19151613701867,2.41284870082962
ANKMY1,3.31951425976116,3.19039953853518,2.41077792942345
SLC46A1,-3.31309072314047,3.19022401894897,2.40589006656702
CTB-12A17.3,3.31182376613432,3.18645306307186,2.39974508386975
CGB5,3.3094729462179,3.1819408963197,-2.39860742101128
ATOH1,3.30520261617598,-3.17726458181917,2.39692980441294
HOXB2,3.29852324898727,3.17663404224865,2.38663389374097
IGHV3-41,-3.29110970810208,-3.16500148010751,2.3784977684084
RP11-805J14.5,3.28866536659711,-3.16443170702444,-2.37492502036442
CTD-3074O7.11,3.28805657983311,3.16181456884379,2.36552895770074
TEFM,-3.27680854048299,-3.1609809411777,-2.36436594329785
OR5AR1,3.25903132626436,3.15985665113128,-2.36191349105161
SPDYE1,-3.24917245728649,3.15556314276332,2.35871863604414
PHLDA2,3.24062478734203,3.15131376856687,2.3579857580956
CTD-2591A6.2,-3.23763296316846,-3.14199275686718,2.35331333983884
AC009121.1,3.23113233710976,3.1419316889395,2.34723821032832
TCN1,3.22771922295142,3.13677308931629,2.34511358145508
RP11-732A19.8,3.22685205469054,3.13387509998886,2.33817676629881
PTP4A1,-3.22629629667993,3.13257597306534,2.33453930763589
FBXL8,3.22589527135617,3.12922235462162,-2.32585073981505
AC005944.2,3.22166886640412,3.12673139370751,2.32445552041292
VDR,3.22072828844943,3.12672827133265,-2.32135069606467
SPINT1,3.22029294071113,-3.12406502514964,2.32110055134292
PPP1R12BP2,3.21840184617694,-3.11620474570821,2.32028819277076
NSMCE2,-3.21821246657757,3.11562911533862,-2.31756549060941
RP11-1029J19.4,3.21580543996425,-3.1113340443898,2.31522709089252
RP4-781K5.2,3.21470910439709,3.10971657740438,2.31364150229854
RP4-712E4.2,3.21389905337396,3.10283583781056,2.31204624151283
AC006552.1,3.20509107038288,3.10127949425138,2.307318542177
CACNB3,3.1802993941437,3.09809011494578,2.30450976835784
FAIM2,3.17078424437731,-3.0897206646103,-2.30376375152808
RP1-50O24.6,3.17070835663796,3.07156194322702,2.29116897503786
TMPRSS3,3.16774214257167,3.06702287433196,2.2869441323085
PPP1R36,3.16370947406679,-3.06652201766305,2.28682328355896
AC005522.7,-3.15873364061257,3.06235095189413,2.28163462848881
CCDC142,-3.15733445521555,3.05581130134164,2.2792960761273
RN7SL529P,-3.15658351873952,-3.05539081957804,2.26949648256114
RP1-59D14.1,3.15318974902963,3.04323692146482,2.26750926889466
RPL36P16,-3.14852675654709,3.04255595159943,2.26517752688588
PLEKHS1,3.13915689315968,3.04047702734596,2.26219527340873
TMEM231,3.13874128583409,-3.03988200549857,-2.26059499412807
BNIP3P3,3.12834046307748,3.0324737491686,-2.2592947906671
RP11-361A21.1,3.12618122797604,3.03096216438486,-2.25733214339099
TSPAN3,3.12154076484633,-3.03031746169911,2.25700397654439
RN7SL105P,-3.12056264850042,3.02735943075968,2.25207346130894
HMGA1P1,3.12001724175982,3.02314066787193,2.239874544741
ALDH3B1,3.11608047221436,3.02267456639363,2.23495570508614
RN7SKP127,-3.11563276388514,-3.019801176567,2.23263488178877
DPM1,-3.11205091881151,3.0169495471361,-2.23069610981307
RP13-631K18.5,3.10934664417202,3.01177939474796,2.213828745757
RP1-308E4.1,-3.10897228076121,3.00925225307962,-2.21345832247534
RP11-245C23.3,3.10735649613038,3.00793144546776,2.2052589625774
RP11-290L1.5,3.10534855835745,2.99609936211807,2.20362057351797
RP11-348H3.5,-3.09607353361653,2.99404269917091,2.19737780596614
AC005253.2,-3.09515509007914,-2.989032874607,2.19374776997442
RP11-810M2.2,3.09493994120785,-2.98634962061038,2.1919782471161
GINS1,-3.09099330219638,2.97748371561206,2.19086554483175
ZNF736,-3.09049383958239,-2.97442536686906,2.19056865110775
CTD-2302E22.2,3.0848889665003,-2.96940493004659,-2.18291659191207
OSBPL5,3.0804868288122,2.96934035657079,-2.18131865083681
AC140061.12,-3.07540673248894,2.96764280481938,-2.17191169480928
RP11-1079K10.4,3.07455498734074,2.96542174059158,2.16995991282973
TM4SF4,3.0727266404768,2.96435881001282,2.16667210002988
C10orf85,3.07182179004953,-2.96400678013714,-2.16188375646751
LILRP1,3.06385665898178,2.96266293646099,2.15621184359097
HK1,3.05789204781008,2.9605815235598,2.1539722585386
RP11-1029J19.5,3.05342351824863,-2.95708796660448,2.1504389562718
KIAA1211L,3.05281295559497,2.95612256551399,2.14874373795611
RNU6-1192P,3.05193324986227,2.94874521562955,2.14789463915219
CANT1,3.05147778499856,2.94363491667705,2.14582852293768
GPR56,3.0492745642387,2.94174906029228,2.14540486501431
RP11-680F20.12,3.04223987055945,2.93569923506905,-2.14304380543147
RP11-1149O23.4,3.03889525635456,-2.93279059459509,2.14176766904266
ETV5,3.03552977187891,2.93192944529315,2.1386951449878
C20orf144,-3.03456142262272,-2.92756028984239,2.13459841047922
